"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp8",2.20720480462523e-31,0.313664312915439,0.628,0.446,2.40717755992427e-27,"Control","mt-Atp8"
"Mecom",3.09058058526564e-21,0.288470931660708,0.618,0.468,3.3705871862907e-17,"Control","Mecom"
"Eef2",3.44949994995763e-20,0.184635036230195,0.996,0.996,3.76202464542379e-16,"Control","Eef2"
"Serinc3",1.57392194552705e-18,0.171185406346193,0.97,0.951,1.7165192737918e-14,"Control","Serinc3"
"Txnip",1.63397854930259e-17,0.238679323209369,0.653,0.505,1.7820170058694e-13,"Control","Txnip"
"Cebpb",4.42942426981147e-17,0.208247429593887,0.276,0.151,4.83073010865639e-13,"Control","Cebpb"
"Aes",4.6366504523311e-16,0.189282813803828,0.839,0.756,5.0567309833123e-12,"Control","Aes"
"Nrgn",5.38215339613626e-15,0.215828760129027,0.751,0.662,5.8697764938262e-11,"Control","Nrgn"
"Jund",6.6091789541081e-15,0.24002038746361,0.413,0.291,7.2079705673503e-11,"Control","Jund"
"Pabpc1",1.14023003005774e-13,0.0966021707383313,0.998,0.997,1.24353487078097e-09,"Control","Pabpc1"
"Bin2",1.22997975181684e-13,0.182610770342263,0.814,0.743,1.34141591733145e-09,"Control","Bin2"
"Ubc",2.24564832147212e-13,0.178961880813261,0.757,0.656,2.4491040593975e-09,"Control","Ubc"
"Car2",3.52758483288464e-13,0.156005045018882,0.961,0.925,3.84718401874399e-09,"Control","Car2"
"Pkm",7.00616779737086e-12,0.15763917449368,0.916,0.887,7.64092659981266e-08,"Control","Pkm"
"H2-D1",9.90079455198311e-12,0.129210153535764,0.985,0.985,1.07978065383928e-07,"Control","H2-D1"
"Sqstm1",1.25439864650477e-11,0.217884484735445,0.522,0.417,1.3680471638781e-07,"Control","Sqstm1"
"Cbx6",2.33220791011444e-11,0.17389908289962,0.502,0.378,2.54350594677081e-07,"Control","Cbx6"
"Gnai2",3.16138732663617e-11,0.143695862928092,0.892,0.836,3.4478090184294e-07,"Control","Gnai2"
"Trim28",5.01178568702793e-11,0.167173762507865,0.616,0.514,5.46585347027266e-07,"Control","Trim28"
"Snhg9",6.08292660700352e-11,0.178293120374044,0.407,0.301,6.63403975759804e-07,"Control","Snhg9"
"Nmt1",6.72935992399382e-11,0.168895960359519,0.523,0.42,7.33903993310766e-07,"Control","Nmt1"
"Mknk2",1.06344664970534e-10,0.172215612443152,0.454,0.343,1.15979491616864e-06,"Control","Mknk2"
"Tln1",1.29878524656095e-10,0.149820943190558,0.792,0.714,1.41645518989938e-06,"Control","Tln1"
"Hcls1",1.54258622089323e-10,0.155718247721993,0.56,0.442,1.68234453250615e-06,"Control","Hcls1"
"Laptm5",1.79658928281826e-10,0.128909321830918,0.906,0.855,1.9593602718416e-06,"Control","Laptm5"
"Neat1",3.24397817929604e-10,0.193806545089921,0.543,0.438,3.53788260234026e-06,"Control","Neat1"
"Ptp4a2",4.46281567573342e-10,0.1349669754433,0.797,0.709,4.86714677595487e-06,"Control","Ptp4a2"
"Sipa1",7.66527215514871e-10,0.152894889372983,0.405,0.301,8.35974581240518e-06,"Control","Sipa1"
"Zfp687",1.09172010928536e-09,0.148847861866972,0.175,0.103,1.19062995118661e-05,"Control","Zfp687"
"Gltscr2",1.38747699403942e-09,0.128380245603406,0.907,0.859,1.51318240969939e-05,"Control","Gltscr2"
"Dpf2",1.6876951241842e-09,0.138594712075734,0.488,0.377,1.84060030243529e-05,"Control","Dpf2"
"Meis1",2.24723915193892e-09,0.158322583406131,0.82,0.754,2.45083901910458e-05,"Control","Meis1"
"Itgb3",3.00921249222458e-09,0.161327774493984,0.491,0.386,3.28184714402012e-05,"Control","Itgb3"
"Ypel3",3.07950007069146e-09,0.154346310676929,0.716,0.613,3.35850277709611e-05,"Control","Ypel3"
"Cxxc5",3.27378048117718e-09,0.15589625667798,0.605,0.512,3.57038499277183e-05,"Control","Cxxc5"
"Mtch1",3.27749367730187e-09,0.161950739575103,0.57,0.482,3.57443460446541e-05,"Control","Mtch1"
"Ccnd3",3.46845275956088e-09,0.122312974729921,0.786,0.704,3.78269457957709e-05,"Control","Ccnd3"
"Rcc2",3.93565453511169e-09,0.141033728060252,0.703,0.612,4.29222483599281e-05,"Control","Rcc2"
"Cd27",4.36304248496502e-09,0.148406286193722,0.66,0.558,4.75833413410285e-05,"Control","Cd27"
"Ehmt2",5.03563570786537e-09,0.142420738683652,0.278,0.184,5.49186430299797e-05,"Control","Ehmt2"
"Otulin",5.54057594272366e-09,0.15910104388637,0.348,0.261,6.04255212313443e-05,"Control","Otulin"
"Plek",8.31941149493752e-09,0.161513508071246,0.468,0.368,9.07315017637886e-05,"Control","Plek"
"Plekho2",8.57338001107399e-09,0.14998319085685,0.244,0.166,9.35012824007729e-05,"Control","Plekho2"
"Irgm1",8.93189912309218e-09,0.15157323185924,0.252,0.164,9.74112918364433e-05,"Control","Irgm1"
"Gtf2i",1.22587699200484e-08,0.124737201007717,0.489,0.378,0.000133694144748048,"Control","Gtf2i"
"Rasal3",1.36037698447031e-08,0.148852980687063,0.371,0.276,0.000148362713926332,"Control","Rasal3"
"Smad7",1.42132079951999e-08,0.208489972483687,0.393,0.307,0.00015500924639565,"Control","Smad7"
"Twf2",1.54601573071712e-08,0.14112565514093,0.397,0.296,0.000168608475592009,"Control","Twf2"
"Prr13",1.57095440850049e-08,0.155789544623652,0.772,0.698,0.000171328287791063,"Control","Prr13"
"Nfic",1.5783423456774e-08,0.158716382286789,0.612,0.524,0.000172134016219577,"Control","Nfic"
"H3f3b",2.06195932054398e-08,0.0641925470960611,1,1,0.000224877283498527,"Control","H3f3b"
"Ctnnb1",2.29585272052571e-08,0.150758660181605,0.538,0.443,0.000250385697700533,"Control","Ctnnb1"
"Mgat4b",2.31708259365471e-08,0.141566128477358,0.255,0.175,0.000252701027663983,"Control","Mgat4b"
"Txlna",2.4814559917481e-08,0.139334885454664,0.44,0.343,0.000270627590460048,"Control","Txlna"
"Ctdsp2",2.80933644568326e-08,0.135829290608007,0.335,0.242,0.000306386232766216,"Control","Ctdsp2"
"Eng",3.43224953926613e-08,0.145195039624793,0.418,0.323,0.000374321134752364,"Control","Eng"
"Stard10",3.46809066923669e-08,0.148518369294453,0.361,0.268,0.000378229968386953,"Control","Stard10"
"Pitpnm1",3.79833504627717e-08,0.106942347393717,0.13,0.071,0.000414246420146988,"Control","Pitpnm1"
"Maz",3.96722184095697e-08,0.139178802781144,0.64,0.557,0.000432665213974767,"Control","Maz"
"Rnf19b",4.83971974647041e-08,0.13347313936287,0.152,0.093,0.000527819835550062,"Control","Rnf19b"
"Csnk1d",5.60265194510904e-08,0.138874291696165,0.359,0.275,0.000611025221133592,"Control","Csnk1d"
"Ppt1",5.85740178244593e-08,0.142543317844487,0.426,0.331,0.000638808238393554,"Control","Ppt1"
"Ankrd13a",6.16215219016017e-08,0.143444477726341,0.746,0.68,0.000672044317858868,"Control","Ankrd13a"
"Coro1a",6.52015842344879e-08,0.115715187048711,0.896,0.861,0.000711088477661325,"Control","Coro1a"
"Arhgef40",8.40911407249544e-08,0.131285655225445,0.232,0.158,0.000917097980746353,"Control","Arhgef40"
"Rel",8.41126174363363e-08,0.138587990574726,0.219,0.145,0.000917332205760684,"Control","Rel"
"F11r",8.57031046332675e-08,0.128176108013245,0.444,0.342,0.000934678059130415,"Control","F11r"
"Cabin1",9.18850109076499e-08,0.126077431819804,0.255,0.177,0.00100209792895883,"Control","Cabin1"
"Wdr26",1.22171168581477e-07,0.127445436233604,0.647,0.559,0.00133239876454959,"Control","Wdr26"
"Klf10",1.22654788602923e-07,0.175868910856101,0.328,0.247,0.00133767312450348,"Control","Klf10"
"Hnrnpm",1.37667442493686e-07,0.127741397308544,0.771,0.711,0.00150140112783613,"Control","Hnrnpm"
"Pabpn1",1.57762676810714e-07,0.131504026915312,0.39,0.298,0.00172055975329764,"Control","Pabpn1"
"Limd2",1.61894098613449e-07,0.105601291848793,0.803,0.724,0.00176561703947827,"Control","Limd2"
"Ttyh3",1.66918666434595e-07,0.127605985742445,0.34,0.246,0.0018204149761357,"Control","Ttyh3"
"Rab14",1.68644251900645e-07,0.120660342499811,0.735,0.651,0.00183923421122843,"Control","Rab14"
"Rbm4b",1.89252425765128e-07,0.12793429133075,0.581,0.48,0.00206398695539449,"Control","Rbm4b"
"Sf3b2",2.13920739535584e-07,0.139069933124403,0.763,0.705,0.00233301958537508,"Control","Sf3b2"
"Cxxc1",2.20975726648027e-07,0.112664841703217,0.295,0.208,0.00240996127482338,"Control","Cxxc1"
"Gpi1",2.34231004022084e-07,0.113505174077167,0.843,0.788,0.00255452332986485,"Control","Gpi1"
"Mcl1",2.37448344735416e-07,0.133347073452686,0.375,0.29,0.00258961164768445,"Control","Mcl1"
"Adgrg1",2.61454950239201e-07,0.109123169689392,0.914,0.869,0.00285142768730873,"Control","Adgrg1"
"Aldh2",3.05063510809949e-07,0.105947084230934,0.845,0.788,0.0033270226488933,"Control","Aldh2"
"Serpina3g",3.16131576667566e-07,0.252141570742347,0.408,0.33,0.00344773097513647,"Control","Serpina3g"
"Wdr89",3.37021247748e-07,0.0629701140569372,0.999,0.998,0.00367555372793969,"Control","Wdr89"
"Malat1",3.62512172247206e-07,0.0648654590858158,1,1,0.00395355775052802,"Control","Malat1"
"Plec",3.87400986235129e-07,0.110800886793219,0.473,0.369,0.00422499515588031,"Control","Plec"
"Fam134a",4.01520855045462e-07,0.127880011703675,0.414,0.328,0.00437898644512581,"Control","Fam134a"
"Pdzk1ip1",4.16147641490549e-07,0.124056785847816,0.689,0.605,0.00453850617809593,"Control","Pdzk1ip1"
"Eef1a1",4.38377775907368e-07,0.0635882492008255,1,1,0.00478094802404575,"Control","Eef1a1"
"Senp6",4.70859184682963e-07,0.118650337797297,0.5,0.405,0.00513519026815239,"Control","Senp6"
"Dtx3",5.3048952500025e-07,0.111871896959096,0.355,0.261,0.00578551875965272,"Control","Dtx3"
"Fam168b",5.45860017762647e-07,0.132565199535141,0.453,0.369,0.00595314935371942,"Control","Fam168b"
"Rbm22",5.69787471204733e-07,0.123869082083829,0.52,0.432,0.00621410216095882,"Control","Rbm22"
"Alyref",5.69855332304446e-07,0.133920566076119,0.518,0.437,0.00621484225411229,"Control","Alyref"
"Abcf1",6.69426189052908e-07,0.111645995694776,0.552,0.464,0.00730076201781101,"Control","Abcf1"
"Emilin1",6.8849612747934e-07,0.110279103309627,0.391,0.293,0.00750873876628969,"Control","Emilin1"
"Rgs2",7.19576850266427e-07,0.127879541266178,0.556,0.447,0.00784770512900566,"Control","Rgs2"
"H2-K1",7.52451337314198e-07,0.102812944225943,0.977,0.973,0.00820623428474864,"Control","H2-K1"
"Pink1",8.06236251497105e-07,0.135241916640019,0.397,0.309,0.00879281255882743,"Control","Pink1"
"Nbr1",8.46883431337407e-07,0.103697951831285,0.187,0.119,0.00923611070216576,"Control","Nbr1"
"Naa15",8.92870031497206e-07,0.133793604024227,0.513,0.435,0.00973764056350853,"Control","Naa15"
"Tap1",9.00514001192113e-07,0.12100835582765,0.354,0.267,0.00982100569700118,"Control","Tap1"
"Ubr2",9.07973497401178e-07,0.128234770337307,0.314,0.233,0.00990235896265725,"Control","Ubr2"
"Prkcd",9.69185245744749e-07,0.115865585562749,0.294,0.214,0.0105699342900922,"Control","Prkcd"
"H1fx",9.91012884900232e-07,0.135418923599772,0.328,0.256,0.0108079865227219,"Control","H1fx"
"Ddit4",1.02959611306255e-06,0.137648510250189,0.3,0.228,0.0112287752090602,"Control","Ddit4"
"Cd151",1.09754872316681e-06,0.118970725212588,0.258,0.181,0.0119698663748572,"Control","Cd151"
"Git2",1.13223406278435e-06,0.12531517331358,0.604,0.523,0.0123481446887261,"Control","Git2"
"Scaf11",1.14653719847764e-06,0.130833008878205,0.6,0.524,0.0125041346865971,"Control","Scaf11"
"Puf60",1.23528772703868e-06,0.130885441542026,0.351,0.275,0.0134720479510839,"Control","Puf60"
"Tmem243",1.32195490163785e-06,0.124578107218454,0.241,0.17,0.0144172401572624,"Control","Tmem243"
