"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Actb",2.37000198122101e-98,0.719313538462545,1,0.999,2.58472416071964e-94,"EPO_responsive","Actb"
"Cbx3",9.66394660244611e-66,0.622486562706007,0.99,0.896,1.05395001646277e-61,"EPO_responsive","Cbx3"
"Supt16",5.66172231646505e-49,0.634868355515378,0.898,0.607,6.17467435833678e-45,"EPO_responsive","Supt16"
"Tubb5",2.45371285065428e-44,0.550650671688652,0.997,0.977,2.67601923492356e-40,"EPO_responsive","Tubb5"
"Slc39a1",3.12535190293858e-34,0.555128068658462,0.81,0.469,3.40850878534481e-30,"EPO_responsive","Slc39a1"
"Abhd2",5.1212625433254e-34,0.622560999382249,0.751,0.391,5.58524892975068e-30,"EPO_responsive","Abhd2"
"Srsf2",6.68032969813629e-34,0.393794947864507,0.984,0.923,7.28556756878744e-30,"EPO_responsive","Srsf2"
"Kdelr2",2.33537908618713e-30,0.526718875702189,0.787,0.501,2.54696443139568e-26,"EPO_responsive","Kdelr2"
"Insig1",4.65792628362607e-29,0.545137588060346,0.816,0.531,5.0799344049226e-25,"EPO_responsive","Insig1"
"Notch2",9.11279164972934e-28,0.514636471793301,0.774,0.462,9.93841057319482e-24,"EPO_responsive","Notch2"
"Pan3",7.94070943750025e-26,0.523375655643067,0.744,0.489,8.66013771253777e-22,"EPO_responsive","Pan3"
"Erdr1",1.01390207452835e-25,0.585532199245406,0.708,0.45,1.10576160248061e-21,"EPO_responsive","Erdr1"
"Srrm2",2.67657692368238e-23,0.34615623702383,0.964,0.909,2.91907479296801e-19,"EPO_responsive","Srrm2"
"Ptma",1.24259752878819e-22,0.216837847156732,1,1,1.3551768648964e-18,"EPO_responsive","Ptma"
"mt-Nd1",1.54866787010749e-22,0.20386282939635,1,1,1.68897717913923e-18,"EPO_responsive","mt-Nd1"
"Wtap",1.49168028910853e-21,0.424855881918946,0.787,0.58,1.62682652330177e-17,"EPO_responsive","Wtap"
"Gnb1",1.88276579095143e-21,0.379503423038209,0.905,0.761,2.05334437161163e-17,"EPO_responsive","Gnb1"
"Pfas",1.27156038428071e-20,0.460325535679195,0.639,0.405,1.38676375509654e-16,"EPO_responsive","Pfas"
"Fhl3",1.65238485538978e-20,0.438993406403238,0.557,0.265,1.8020909232881e-16,"EPO_responsive","Fhl3"
"Nop10",1.77060745330773e-20,0.266668023603195,0.997,0.976,1.93102448857741e-16,"EPO_responsive","Nop10"
"Kmt2d",9.69944186115568e-20,0.436726050661354,0.603,0.322,1.05782112937764e-15,"EPO_responsive","Kmt2d"
"Ndufa4",2.32254894605922e-19,0.28131537490082,0.997,0.988,2.53297188057218e-15,"EPO_responsive","Ndufa4"
"Paip1",4.14248274813626e-19,0.419086430490262,0.685,0.433,4.51779168511741e-15,"EPO_responsive","Paip1"
"Clasp2",1.5645098518568e-18,0.415979723081798,0.482,0.213,1.70625444443502e-14,"EPO_responsive","Clasp2"
"Mcmbp",7.28756050525963e-17,0.424952373436821,0.646,0.433,7.94781348703615e-13,"EPO_responsive","Mcmbp"
"Ggact",2.00672004933744e-16,0.402489850249727,0.367,0.16,2.18852888580742e-12,"EPO_responsive","Ggact"
"Tacc1",2.07097356264597e-16,0.38347341177825,0.721,0.504,2.25860376742169e-12,"EPO_responsive","Tacc1"
"Marf1",3.28569721910979e-16,0.387158786713278,0.59,0.353,3.58338138716114e-12,"EPO_responsive","Marf1"
